code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz002060,2016-10-18,8.050000,8.230000,8.020000,8.220000,0.021118,10888950.000000,88862404.920000,4938727535.700000,4941297058.380000,0.018124,14.737879,2016-06-30,2016-08-19,45.375257,0.739075,4.485247,1.747895,8.220000
sz002062,2016-10-18,7.680000,7.810000,7.620000,7.790000,0.014323,6677964.000000,51695098.680000,7335857512.770000,8588475000.000000,0.007091,71.784947,2016-06-30,2016-08-23,32.701139,0.721043,4.634753,3.575034,7.790000
sz002063,2016-10-18,13.520000,13.820000,13.490000,13.820000,0.022189,8147907.000000,111337107.740000,7274940372.880000,8382705317.340000,0.015478,75.642992,2016-06-30,2016-08-26,243.889526,8.220549,169.831029,4.725433,13.820000
sz002064,2016-10-18,4.760000,4.850000,4.750000,4.830000,0.012579,9994176.000000,48002590.140000,7307037519.810000,8098944000.000000,0.006606,52.911616,2016-06-30,2016-08-24,-23.401730,3.875512,15.354147,2.753706,4.830000
sz002065,2016-10-18,20.690000,21.110000,20.460000,21.020000,0.028879,14760572.000000,308296257.170000,28764479400.880001,32999167255.599998,0.010786,312.766164,2016-06-30,2016-08-26,31.353854,6.329558,-68.101485,3.876512,21.020000
sz002066,2016-10-18,16.800000,17.050000,16.730000,16.980000,0.004734,7082075.000000,119963754.030000,3922380000.000000,3922380000.000000,0.030658,53.767703,2016-06-30,2016-08-20,-49.799103,2.176333,-96.842634,10.463397,16.980000
sz002067,2016-10-18,7.190000,7.310000,7.180000,7.290000,0.015320,14960558.000000,108629602.120000,7000594290.000000,7974902790.000000,0.015579,19.524694,2016-06-30,2016-08-25,43.706608,2.699600,21.920725,2.568982,7.290000
sz002068,2016-10-18,7.280000,7.410000,7.250000,7.410000,0.016461,4391793.000000,32410052.090000,4497558565.110000,4498341246.360000,0.007236,38.540590,2016-06-30,2016-08-20,-54.508139,0.942121,22.502551,2.385244,7.410000
sz002069,2016-10-18,10.760000,10.920000,10.710000,10.880000,0.009276,4361662.000000,47111333.270000,7406471806.720000,7736900670.720000,0.006407,72.533429,2016-06-30,2016-08-26,-32.472184,2.858046,31.711796,8.611683,10.880000
sz002070,2016-10-18,18.160000,19.120000,18.120000,18.880000,0.039648,36897407.000000,692991255.800000,10699524278.080000,11993673985.280001,0.065108,88.506382,2016-06-30,2016-08-25,-169.344061,17.818986,113.097235,16.336419,18.880000
sz002072,2016-10-18,23.220000,23.550000,23.050000,23.390000,0.002572,4830138.000000,112290715.470000,4116640000.000000,4116640000.000000,0.027444,25.902421,2016-06-30,2016-08-20,-309.457028,14.436881,-216.702490,34.713565,23.390000
sz002073,2016-10-18,11.920000,12.450000,11.920000,12.430000,0.034971,24330353.000000,298827955.480000,7780653042.580000,10136270434.510000,0.038869,114.654916,2016-06-30,2016-08-19,95.162994,4.494827,-171.150828,2.445358,12.430000
